Region,Provider,Specialty,KPI Value,KPI Name,Date
East of England,Bury St Edmunds Hospital – Circle,General Surgery,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Bury St Edmunds Hospital – Circle,Ophthalmology,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Bury St Edmunds Hospital – Circle,Orthopaedics,19 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Bury St Edmunds Hospital – Circle,Urology,15 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Bushey Hospital – Spire,"Ear, Nose and Throat",n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Bushey Hospital – Spire,General Surgery,14 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Bushey Hospital – Spire,Spinal Surgery,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Bushey Hospital – Spire,Orthopaedics,16 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Cambridge – Nuffield,Orthopaedics,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Cambridge Lea Hospital – Spire,"Ear, Nose and Throat",n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Cambridge Lea Hospital – Spire,General Surgery,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Cambridge Lea Hospital – Spire,Orthopaedics,20 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Cambridge University Hospitals NHS Foundation Trust,Allergy,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Cambridge University Hospitals NHS Foundation Trust,Breast,5 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Cambridge University Hospitals NHS Foundation Trust,Cardiology,21 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Cambridge University Hospitals NHS Foundation Trust,Colorectal,12 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Cambridge University Hospitals NHS Foundation Trust,Dermatology,23 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Cambridge University Hospitals NHS Foundation Trust,"Ear, Nose and Throat",23 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Cambridge University Hospitals NHS Foundation Trust,Gastroenterology,13 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Cambridge University Hospitals NHS Foundation Trust,General Surgery,21 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Cambridge University Hospitals NHS Foundation Trust,Gynaecology,21 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Cambridge University Hospitals NHS Foundation Trust,Haematology,12 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Cambridge University Hospitals NHS Foundation Trust,Hepatobiliary and Pancreatic Surgery Service,23 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Cambridge University Hospitals NHS Foundation Trust,Maxillofacial Surgery,25 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Cambridge University Hospitals NHS Foundation Trust,Neurology,12 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Cambridge University Hospitals NHS Foundation Trust,Neurosurgery,14 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Cambridge University Hospitals NHS Foundation Trust,Ophthalmology,21 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Cambridge University Hospitals NHS Foundation Trust,Oral Surgery,24 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Cambridge University Hospitals NHS Foundation Trust,Orthopaedics,21 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Cambridge University Hospitals NHS Foundation Trust,Pain Management,20 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Cambridge University Hospitals NHS Foundation Trust,Paediatrics,10 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Cambridge University Hospitals NHS Foundation Trust,Paediatric Surgery,21 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Cambridge University Hospitals NHS Foundation Trust,Plastic Surgery,20 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Cambridge University Hospitals NHS Foundation Trust,Respiratory,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Cambridge University Hospitals NHS Foundation Trust,Rheumatology,12 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Cambridge University Hospitals NHS Foundation Trust,Upper Gastrointestinal Surgery,16 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Cambridge University Hospitals NHS Foundation Trust,Urology,23 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Cambridge University Hospitals NHS Foundation Trust,Vascular,14 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Chelmsford – Spamedica,Ophthalmology,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Colchester – Optegra,Ophthalmology,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,East and North Hertfordshire NHS Trust,Breast,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,East and North Hertfordshire NHS Trust,Cardiology,12 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,East and North Hertfordshire NHS Trust,Colorectal,18 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,East and North Hertfordshire NHS Trust,"Ear, Nose and Throat",17 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,East and North Hertfordshire NHS Trust,Gastroenterology,25 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,East and North Hertfordshire NHS Trust,General Surgery,19 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,East and North Hertfordshire NHS Trust,Gynaecology,16 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,East and North Hertfordshire NHS Trust,Haematology,14 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,East and North Hertfordshire NHS Trust,Ophthalmology,21 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,East and North Hertfordshire NHS Trust,Oral Surgery,23 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,East and North Hertfordshire NHS Trust,Orthopaedics,24 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,East and North Hertfordshire NHS Trust,Pain Management,27 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,East and North Hertfordshire NHS Trust,Plastic Surgery,11 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,East and North Hertfordshire NHS Trust,Respiratory,14 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,East and North Hertfordshire NHS Trust,Upper Gastrointestinal Surgery,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,East and North Hertfordshire NHS Trust,Urology,19 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,East and North Hertfordshire NHS Trust,Vascular,15 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,East Suffolk and North Essex NHS Foundation Trust,Breast,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,East Suffolk and North Essex NHS Foundation Trust,Cardiology,15 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,East Suffolk and North Essex NHS Foundation Trust,Colorectal,18 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,East Suffolk and North Essex NHS Foundation Trust,Dermatology,16 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,East Suffolk and North Essex NHS Foundation Trust,"Ear, Nose and Throat",19 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,East Suffolk and North Essex NHS Foundation Trust,Gastroenterology,19 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,East Suffolk and North Essex NHS Foundation Trust,General Medicine,11 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,East Suffolk and North Essex NHS Foundation Trust,General Surgery,24 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,East Suffolk and North Essex NHS Foundation Trust,Gynaecology,21 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,East Suffolk and North Essex NHS Foundation Trust,Haematology,7 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,East Suffolk and North Essex NHS Foundation Trust,Maxillofacial Surgery,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,East Suffolk and North Essex NHS Foundation Trust,Ophthalmology,15 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,East Suffolk and North Essex NHS Foundation Trust,Oral Surgery,18 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,East Suffolk and North Essex NHS Foundation Trust,Orthopaedics,25 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,East Suffolk and North Essex NHS Foundation Trust,Pain Management,19 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,East Suffolk and North Essex NHS Foundation Trust,Plastic Surgery,18 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,East Suffolk and North Essex NHS Foundation Trust,Respiratory,18 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,East Suffolk and North Essex NHS Foundation Trust,Rheumatology,9 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,East Suffolk and North Essex NHS Foundation Trust,Spinal Surgery,23 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,East Suffolk and North Essex NHS Foundation Trust,Upper Gastrointestinal Surgery,22 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,East Suffolk and North Essex NHS Foundation Trust,Urology,22 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,East Suffolk and North Essex NHS Foundation Trust,Vascular,21 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Fitzwilliam Hospital – Ramsay,Gastroenterology,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Fitzwilliam Hospital – Ramsay,General Medicine,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Fitzwilliam Hospital – Ramsay,General Surgery,14 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Fitzwilliam Hospital – Ramsay,Gynaecology,18 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Fitzwilliam Hospital – Ramsay,Ophthalmology,17 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Fitzwilliam Hospital – Ramsay,Orthopaedics,24 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Fitzwilliam Hospital – Ramsay,Paediatric Physiotherapy,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Fitzwilliam Hospital – Ramsay,Pain Management,16 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Fitzwilliam Hospital – Ramsay,Rheumatology,16 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Fitzwilliam Hospital – Ramsay,Spinal Surgery,19 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Fitzwilliam Hospital – Ramsay,Urology,14 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Harpenden Hospital – Spire,"Ear, Nose and Throat",n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Harpenden Hospital – Spire,General Surgery,10 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Harpenden Hospital – Spire,Orthopaedics,15 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Harpenden Hospital – Spire,Spinal Surgery,13 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Hartswood Hospital – Spire,General Surgery,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Hartswood Hospital – Spire,Orthopaedics,17 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Ipswich – Newmedica,Ophthalmology,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,James Paget University Hospitals NHS Foundation Trust,Breast,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,James Paget University Hospitals NHS Foundation Trust,Cardiology,23 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,James Paget University Hospitals NHS Foundation Trust,Colorectal,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,James Paget University Hospitals NHS Foundation Trust,Dermatology,8 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,James Paget University Hospitals NHS Foundation Trust,"Ear, Nose and Throat",n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,James Paget University Hospitals NHS Foundation Trust,Gastroenterology,13 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,James Paget University Hospitals NHS Foundation Trust,General Medicine,6 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,James Paget University Hospitals NHS Foundation Trust,General Surgery,21 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,James Paget University Hospitals NHS Foundation Trust,Gynaecology,23 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,James Paget University Hospitals NHS Foundation Trust,Haematology,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,James Paget University Hospitals NHS Foundation Trust,Maxillofacial Surgery,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,James Paget University Hospitals NHS Foundation Trust,Neurology,24 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,James Paget University Hospitals NHS Foundation Trust,Ophthalmology,17 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,James Paget University Hospitals NHS Foundation Trust,Oral Surgery,23 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,James Paget University Hospitals NHS Foundation Trust,Orthopaedics,26 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,James Paget University Hospitals NHS Foundation Trust,Paediatrics,14 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,James Paget University Hospitals NHS Foundation Trust,Paediatric Surgery,22 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,James Paget University Hospitals NHS Foundation Trust,Pain Management,11 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,James Paget University Hospitals NHS Foundation Trust,Plastic Surgery,33 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,James Paget University Hospitals NHS Foundation Trust,Respiratory,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,James Paget University Hospitals NHS Foundation Trust,Rheumatology,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,James Paget University Hospitals NHS Foundation Trust,Spinal Surgery,18 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,James Paget University Hospitals NHS Foundation Trust,Upper Gastrointestinal Surgery,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,James Paget University Hospitals NHS Foundation Trust,Urology,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,James Paget University Hospitals NHS Foundation Trust,Vascular,21 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Mid and South Essex NHS Foundation Trust,Breast,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Mid and South Essex NHS Foundation Trust,Cardiac Surgery,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Mid and South Essex NHS Foundation Trust,Cardiology,18 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Mid and South Essex NHS Foundation Trust,Colorectal,20 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Mid and South Essex NHS Foundation Trust,Dermatology,21 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Mid and South Essex NHS Foundation Trust,"Ear, Nose and Throat",27 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Mid and South Essex NHS Foundation Trust,Gastroenterology,21 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Mid and South Essex NHS Foundation Trust,General Medicine,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Mid and South Essex NHS Foundation Trust,Gynaecology,19 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Mid and South Essex NHS Foundation Trust,Haematology,18 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Mid and South Essex NHS Foundation Trust,Maxillofacial Surgery,18 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Mid and South Essex NHS Foundation Trust,Neurology,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Mid and South Essex NHS Foundation Trust,Neurosurgery,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Mid and South Essex NHS Foundation Trust,Ophthalmology,21 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Mid and South Essex NHS Foundation Trust,Oral Surgery,30 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Mid and South Essex NHS Foundation Trust,Orthopaedics,25 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Mid and South Essex NHS Foundation Trust,Pain Management,14 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Mid and South Essex NHS Foundation Trust,Plastic Surgery,20 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Mid and South Essex NHS Foundation Trust,Respiratory,18 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Mid and South Essex NHS Foundation Trust,Rheumatology,17 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Mid and South Essex NHS Foundation Trust,Spinal Surgery,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Mid and South Essex NHS Foundation Trust,Upper Gastrointestinal Surgery,27 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Mid and South Essex NHS Foundation Trust,Urology,21 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Mid and South Essex NHS Foundation Trust,Vascular,22 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Milton Keynes University Hospital NHS Foundation Trust,Breast,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Milton Keynes University Hospital NHS Foundation Trust,Cardiology,21 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Milton Keynes University Hospital NHS Foundation Trust,Colorectal,18 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Milton Keynes University Hospital NHS Foundation Trust,"Ear, Nose and Throat",24 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Milton Keynes University Hospital NHS Foundation Trust,Gastroenterology,19 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Milton Keynes University Hospital NHS Foundation Trust,General Medicine,11 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Milton Keynes University Hospital NHS Foundation Trust,General Surgery,23 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Milton Keynes University Hospital NHS Foundation Trust,Gynaecology,28 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Milton Keynes University Hospital NHS Foundation Trust,Maxillofacial Surgery,23 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Milton Keynes University Hospital NHS Foundation Trust,Ophthalmology,28 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Milton Keynes University Hospital NHS Foundation Trust,Oral Surgery,29 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Milton Keynes University Hospital NHS Foundation Trust,Orthopaedics,28 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Milton Keynes University Hospital NHS Foundation Trust,Pain Management,36 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Milton Keynes University Hospital NHS Foundation Trust,Respiratory,23 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Milton Keynes University Hospital NHS Foundation Trust,Spinal Surgery,35 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Milton Keynes University Hospital NHS Foundation Trust,Urology,29 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Norfolk and Norwich University Hospitals NHS Foundation Trust,Breast,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Norfolk and Norwich University Hospitals NHS Foundation Trust,Cardiology,17 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Norfolk and Norwich University Hospitals NHS Foundation Trust,Colorectal,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Norfolk and Norwich University Hospitals NHS Foundation Trust,Dermatology,17 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Norfolk and Norwich University Hospitals NHS Foundation Trust,"Ear, Nose and Throat",23 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Norfolk and Norwich University Hospitals NHS Foundation Trust,Gastroenterology,15 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Norfolk and Norwich University Hospitals NHS Foundation Trust,General Medicine,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Norfolk and Norwich University Hospitals NHS Foundation Trust,General Surgery,21 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Norfolk and Norwich University Hospitals NHS Foundation Trust,Gynaecology,27 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Norfolk and Norwich University Hospitals NHS Foundation Trust,Haematology,8 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Norfolk and Norwich University Hospitals NHS Foundation Trust,Maxillofacial Surgery,n/a,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Norfolk and Norwich University Hospitals NHS Foundation Trust,Neurology,21 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Norfolk and Norwich University Hospitals NHS Foundation Trust,Ophthalmology,19 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Norfolk and Norwich University Hospitals NHS Foundation Trust,Oral Surgery,21 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Norfolk and Norwich University Hospitals NHS Foundation Trust,Orthopaedics,30 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Norfolk and Norwich University Hospitals NHS Foundation Trust,Paediatrics,14 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Norfolk and Norwich University Hospitals NHS Foundation Trust,Paediatric Surgery,21 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Norfolk and Norwich University Hospitals NHS Foundation Trust,Pain Management,28 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Norfolk and Norwich University Hospitals NHS Foundation Trust,Plastic Surgery,28 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Norfolk and Norwich University Hospitals NHS Foundation Trust,Respiratory,23 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Norfolk and Norwich University Hospitals NHS Foundation Trust,Rheumatology,11 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
East of England,Norfolk and Norwich University Hospitals NHS Foundation Trust,Spinal Surgery,28 ,Average waiting time for treatment at this hospital for this specialty,2024-10-06
